algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,138,55442018,55441981,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,139,55468536,55468185,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,140,55400740,55400518,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,141,55406203,55406037,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,142,55386166,55386018,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,143,55399221,55398981,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,144,55413277,55413037,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,145,55444814,55443777,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,146,55397833,55397592,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,147,55473333,55472388,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,148,55416907,55416796,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,149,55423536,55423203,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,150,55405203,55404962,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,151,55383518,55383370,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,152,55403777,55403555,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,153,55424610,55424370,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,154,56185981,56184963,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,155,55468666,55467925,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,156,55415629,55415333,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,157,55432092,55431704,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,158,55455074,55454703,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,159,55383241,55383036,,,,,,,Classic_McEliece_348864_decapsulate.json
