algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Falcon-1024,SIG,keygen,L5,Falcon,79,48280903,48279458,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,80,53388073,53386870,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,81,45310679,45309142,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,82,45802624,45801234,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,83,46241921,46240494,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,84,73460494,73459068,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,85,42491510,42489676,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,86,48081125,48079421,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,87,48004421,48003032,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,88,45182160,45181512,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,89,46291495,46290994,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,90,55447296,55446797,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,91,45251882,45250419,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,92,50932683,50932034,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,93,47867533,47867255,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,94,111869483,111867650,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,95,43049141,43047807,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,96,62326116,62325931,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,97,66791823,66791193,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,98,50909072,50908238,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,99,43871826,43871474,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,100,59577410,59575744,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,101,49172923,49171681,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,102,41805620,41804732,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,103,41683029,41682565,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,104,42360436,42358992,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,105,43571974,43570974,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,106,53821666,53820666,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,107,54413259,54411814,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,108,43475585,43474307,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,109,42310343,42309547,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,110,48602866,48601459,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,111,42403529,42402325,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,112,42285047,42284750,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,113,44452993,44452734,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,114,42689455,42689159,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,115,47464087,47462383,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,116,60638060,60637504,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,117,69620251,69619769,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,118,42150436,42150065,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,119,43346418,43345658,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,120,44586808,44586197,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,121,50713534,50713294,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,122,44499900,44499419,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,123,47896532,47896199,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,124,54138073,54137629,,1793,2305,,,,Falcon_1024_keygen.json
